City,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Albuquerque,271.810549,275.306948,282.0500902,286.3000456,290.4205087,297.4512331,294.248364,294.2388263,291.2321606,283.7887218,278.4792082,274.7881962,277.3119396,279.5592708,281.7899943,286.1317644,290.2790963,297.8131752,297.8196493,294.3659283,291.7423979,284.8608656,276.0751986,273.2056297,270.6528011,275.3877656,280.6510195,284.7245253,287.9451102,295.8149349,293.9442008,294.9433328,292.7687585,285.9187861,279.0925607,273.6991385,273.5606842,279.2772594,283.1129149,284.669764,287.5161416,294.441406,298.3426426,291.0626063,290.0315057,285.9379304,281.0341143,275.787073
Atlanta,282.1123939,280.2881851,281.366085,288.8826326,292.1764147,297.1182918,297.3176845,296.9467677,295.3013779,289.7706158,283.0902993,281.4337944,276.2434994,280.4161905,283.4954906,289.1460813,293.6784165,297.6718211,298.0071438,298.2207041,295.8784785,290.5544308,280.4150465,281.7678441,277.7829254,276.7040461,286.2587016,291.214117,295.8653387,299.1354801,299.7043126,298.4219106,294.9940026,289.5619557,286.612487,286.2346935,277.7742489,281.2289905,287.9957285,290.1699931,293.5532438,298.5577403,300.2732442,299.2421048,297.2019015,291.8732011,286.679031,281.6635841
Beersheba,286.0178679,288.1450558,289.3291316,291.7207677,296.7468931,297.3327748,297.5240007,297.8450675,296.3708084,289.7308107,283.7369184,282.2402339,282.5788597,282.7721374,287.3308187,291.6743646,294.4704578,296.6914622,297.824972,298.5186507,296.8336566,292.6356865,287.2488371,284.8606574,282.2071516,283.708579,287.5297084,289.4671373,294.2454938,295.2299139,297.7290094,300.1658172,298.6852307,294.4294444,288.9120043,282.4325173,282.0206748,284.5202153,287.2928417,291.8244004,293.8558143,298.0058303,297.552668,298.647656,296.0372868,293.2606591,288.1326046,282.6271771
Boston,271.9776405,272.0967474,275.6625367,281.835262,287.3331331,293.0227107,297.0705202,294.0868048,291.3301718,286.5934814,280.1770068,273.9484583,270.413244,270.7892113,273.3263401,281.6093328,287.6074586,292.176511,295.8297439,293.2911993,290.8844813,286.5745921,278.9673861,277.3946042,271.0048548,268.0001027,272.9989993,280.5290649,287.8205134,289.5492212,295.6828115,295.6283281,292.7468072,284.313646,281.2024879,279.3078131,272.4126011,273.8741695,278.7564191,281.3415479,287.5050039,292.6722795,296.0155333,296.3635914,291.7096424,286.0426399,280.0691641,273.9719932
Charlotte,280.6986907,279.051833,280.5700722,288.9674079,292.0385833,296.6922274,297.4587012,296.5748567,294.3049791,289.2640847,281.5770793,280.8141344,276.1436497,280.2180357,281.5616724,289.423299,294.1224259,297.5476288,297.7103694,296.8648709,294.5371201,289.7791956,280.3411535,279.6809026,276.5094583,274.5719777,284.1622339,289.6076892,295.052297,298.8113333,299.3338076,297.9850708,294.909681,288.0604018,285.2563625,285.3931708,276.6432471,279.4753308,287.2661961,289.2032254,292.417939,298.6809246,300.478974,299.4472863,296.8553505,290.5562356,284.3735275,279.7745876
Chicago,271.1894053,270.4430264,273.2479411,280.8750639,289.172166,292.8617125,295.8155468,295.2665516,292.8128221,285.8569677,278.343222,270.3738602,267.9769163,265.5834524,272.8006408,282.4591648,288.9186592,292.7758519,294.6343526,295.3495552,291.2166688,285.2929933,275.6476986,274.1612997,267.8620208,262.7121473,272.9862554,280.3278323,285.5156411,289.4001394,295.2528524,294.711922,293.2964314,285.7808578,280.4927956,277.4460367,269.5273777,272.599621,279.5443079,282.0215298,288.6536416,294.9829803,296.4815602,296.930836,293.6581956,287.882178,281.5412515,270.0641127
Dallas,282.3041203,284.8356603,286.1893103,290.2333836,295.5061156,301.5477785,301.9609953,303.9201202,300.6572568,292.5170604,285.1648197,280.0464792,280.562038,281.1358333,285.3477648,291.7055448,295.776359,300.4277852,301.6215462,301.9828925,298.7230618,293.8477272,283.4258583,282.4698978,278.8065941,280.1720848,285.9650733,292.3365865,295.0832446,300.800564,303.3141986,303.1574724,300.4474043,294.116289,287.2068274,284.3535146,280.7861394,285.5300357,289.2147602,292.45154,294.9196113,300.8954523,303.6603796,302.042718,299.4510263,295.1676593,289.8863999,282.645503
Denver,271.9098054,272.7963328,276.4357152,278.8725891,287.1525598,293.5218637,294.0288121,293.9480417,290.2648273,279.529013,275.8375874,272.0944281,273.9729818,271.6534077,277.4958179,282.2121924,285.9843651,291.1579128,293.9667689,290.890141,287.5270896,281.0544476,272.3998514,269.244877,270.6846599,271.0955826,276.1494066,279.4371427,281.6377137,291.0987393,294.62473,295.2085675,292.7646738,285.269537,276.5953211,272.3814698,272.8323348,276.7263859,278.2391205,281.5018757,285.2664642,294.7853641,297.2351717,293.4779304,290.7090954,283.8678947,280.7132004,271.6671684
Detroit,271.8205184,270.0026348,273.8080091,280.0400194,289.5271243,293.2876476,295.6346422,294.3862527,290.5514237,285.0303281,276.5285109,270.6283851,267.1777965,266.0929018,270.8416243,281.5919277,288.6766809,293.7825293,294.3524523,293.7485254,289.7788583,283.9957547,275.1188576,272.8705954,265.3783468,260.9027485,271.5774812,280.7463955,288.9915444,291.4239546,295.2505816,294.4347316,293.121813,285.0562916,280.6870374,277.7768618,270.3673704,272.5945537,278.38382,280.6093041,288.6758508,294.2419908,297.1775751,297.3609994,293.115504,286.1703523,280.7869137,271.4886033
Eilat,287.4205873,289.5929885,293.5640653,296.0765065,302.0611163,302.8966888,303.2690333,303.507156,300.0558728,294.6119876,292.6637424,287.9957478,286.3905121,285.5839573,289.0107251,292.9662554,299.0390278,303.8574258,305.8238909,305.4468518,303.2383837,298.7612458,293.1353695,290.4821641,283.6304152,284.9636942,290.1942074,290.9314431,296.0531002,300.0160569,305.9994476,307.3602312,304.8697865,300.1435845,294.147355,287.2466899,286.5536792,290.4990634,293.6380728,299.0435653,301.1763819,303.7137106,305.021836,303.5196406,301.6256427,295.8619092,293.7859936,287.0714917
